species,genus,phylum,gene_target,hit_count,best_accession,best_title,query
Nocardiopsis lucentensis,Nocardiopsis,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Nocardiopsis lucentensis""[Organism]"
Jeotgalicoccus halotolerans,Jeotgalicoccus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Jeotgalicoccus halotolerans""[Organism]"
Brachybacterium saurashtrense,Brachybacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brachybacterium saurashtrense""[Organism]"
Ornithinibacillus gellani,Ornithinibacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Ornithinibacillus gellani""[Organism]"
Salinicoccus kunmingensis,Salinicoccus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Salinicoccus kunmingensis""[Organism]"
Mammaliicoccus lentus,Mammaliicoccus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Mammaliicoccus lentus""[Organism]"
Nocardiopsis nikkonensis,Nocardiopsis,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Nocardiopsis nikkonensis""[Organism]"
Lactobacillus crispatus,Lactobacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Lactobacillus crispatus""[Organism]"
Nocardiopsis halotolerans,Nocardiopsis,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Nocardiopsis halotolerans""[Organism]"
Pseudogracilibacillus marinus,Pseudogracilibacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Pseudogracilibacillus marinus""[Organism]"
Lactobacillus gallinarum,Lactobacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Lactobacillus gallinarum""[Organism]"
Romboutsia ilealis,Romboutsia,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Romboutsia ilealis""[Organism]"
Lactobacillus johnsonii,Lactobacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Lactobacillus johnsonii""[Organism]"
Nocardiopsis salina,Nocardiopsis,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Nocardiopsis salina""[Organism]"
Salinicoccus carnicancri,Salinicoccus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Salinicoccus carnicancri""[Organism]"
Anaerococcus obesiensis,Anaerococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Anaerococcus obesiensis""[Organism]"
Weissella jogaejeotgali,Weissella,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Weissella jogaejeotgali""[Organism]"
Brevibacterium avium,Brevibacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brevibacterium avium""[Organism]"
Anaerococcus porci,Anaerococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Anaerococcus porci""[Organism]"
Brachybacterium conglomeratum,Brachybacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brachybacterium conglomeratum""[Organism]"
Romboutsia timonensis,Romboutsia,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Romboutsia timonensis""[Organism]"
Brachybacterium squillarum,Brachybacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brachybacterium squillarum""[Organism]"
Jeotgalicoccus aerolatus,Jeotgalicoccus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Jeotgalicoccus aerolatus""[Organism]"
Staphylococcus simulans,Staphylococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Staphylococcus simulans""[Organism]"
Ruoffia tabacinasalis,Ruoffia,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Ruoffia tabacinasalis""[Organism]"
Enterococcus cecorum,Enterococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Enterococcus cecorum""[Organism]"
Enteractinococcus fodinae,Enteractinococcus,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Enteractinococcus fodinae""[Organism]"
Brachybacterium epidermidis,Brachybacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brachybacterium epidermidis""[Organism]"
Corynebacterium urealyticum,Corynebacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Corynebacterium urealyticum""[Organism]"
Virgibacillus alimentarius,Virgibacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Virgibacillus alimentarius""[Organism]"
Yaniella soli,Yaniella,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Yaniella soli""[Organism]"
Ruania albidiflava,Ruania,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Ruania albidiflava""[Organism]"
Staphylococcus cohnii,Staphylococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Staphylococcus cohnii""[Organism]"
Pseudogracilibacillus endophyticus,Pseudogracilibacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Pseudogracilibacillus endophyticus""[Organism]"
Staphylococcus nepalensis,Staphylococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Staphylococcus nepalensis""[Organism]"
Yaniella flava,Yaniella,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Yaniella flava""[Organism]"
Brachybacterium timonense,Brachybacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brachybacterium timonense""[Organism]"
Corynebacterium ammoniagenes,Corynebacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Corynebacterium ammoniagenes""[Organism]"
Lipingzhangella halophila,Lipingzhangella,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Lipingzhangella halophila""[Organism]"
Limosilactobacillus reuteri,Limosilactobacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Limosilactobacillus reuteri""[Organism]"
Brachybacterium rhamnosum,Brachybacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brachybacterium rhamnosum""[Organism]"
Nocardiopsis rhizosphaerae,Nocardiopsis,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Nocardiopsis rhizosphaerae""[Organism]"
Streptococcus alactolyticus,Streptococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Streptococcus alactolyticus""[Organism]"
Cerasibacillus terrae,Cerasibacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Cerasibacillus terrae""[Organism]"
Brachybacterium halotolerans,Brachybacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brachybacterium halotolerans""[Organism]"
Enteractinococcus lamae,Enteractinococcus,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Enteractinococcus lamae""[Organism]"
Brachybacterium muris,Brachybacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brachybacterium muris""[Organism]"
Nocardiopsis kunsanensis,Nocardiopsis,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Nocardiopsis kunsanensis""[Organism]"
Enteractinococcus viverrae,Enteractinococcus,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Enteractinococcus viverrae""[Organism]"
Brevibacterium oceani,Brevibacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brevibacterium oceani""[Organism]"
Tomitella biformata,Tomitella,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Tomitella biformata""[Organism]"
Brevibacterium anseongense,Brevibacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brevibacterium anseongense""[Organism]"
Jeotgalicoccus coquinae,Jeotgalicoccus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Jeotgalicoccus coquinae""[Organism]"
Anaerococcus lactolyticus,Anaerococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Anaerococcus lactolyticus""[Organism]"
Aerococcus viridans,Aerococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Aerococcus viridans""[Organism]"
