species,protein_accession,nucleotide_accession,status,error_message
Oceanobacillus polygoni,WP_149476260.1,NZ_JAGGMB010000005.1,success,
Staphylococcus carnosus,WP_442242978.1,NZ_JBQEJK010000218.1,success,
Staphylococcus equorum,WP_490663354.1,NZ_JBVGZC010000002.1,success,
Falsochrobactrum ovis,WP_111575764.1,NZ_JBHEEY010000006.1,success,
Dietzia alimentaria,ODQ85602.1,MDCG01000215.1,success,
Fusicatenibacter saccharivorans,WP_022462945.1,NZ_BAAHYG010000010.1,success,
Staphylococcus aureus,WP_495479468.1,,failed,no /coded_by qualifier found
Rothia koreensis,WP_443094542.1,NZ_CP197643.1,success,
Staphylococcus pseudoxylosus,XVL49122.1,CP157502.1,success,
Pseudothauera rhizosphaerae,WP_136383754.1,NZ_SSOD01000003.1,success,
Staphylococcus capitis,WP_493290766.1,,failed,no /coded_by qualifier found
Corynebacterium sputi,WP_027019563.1,NZ_ATYV01000008.1,success,
Staphylococcus xylosus,WP_452671486.1,NZ_JBSGLC010000002.1,success,
Enterococcus casseliflavus,WP_483540342.1,NZ_JBTLTI010000010.1,success,
Niallia oryzisoli,WP_394234393.1,NZ_JBHOFM010000002.1,success,
Georgenia soli,WP_098484839.1,NZ_PDJI01000004.1,success,
Mammaliicoccus fleurettii,QPA34838.1,CP064059.1,success,
Staphylococcus lugdunensis,WP_491624228.1,,failed,no /coded_by qualifier found
Brevibacterium sediminis,WP_458311793.1,NZ_JBQUAV010000023.1,success,
Staphylococcus taiwanensis,UDI77251.1,CP058667.1,success,
Staphylococcus croceilyticus,WP_103328966.1,NZ_PPRD01000030.1,success,
Staphylococcus condimenti,QRP95894.1,CP069567.1,success,
Bifidobacterium pullorum,WP_029680231.1,NZ_JBKVXV010000055.1,success,
Blautia hominis,WP_095173489.1,NZ_NQOF01000003.1,success,
Prauserella oleivorans,WP_377388546.1,NZ_JBHSAN010000012.1,success,
Niallia endozanthoxylica,WP_150438585.1,NZ_VYKL01000009.1,success,
Niallia circulans,WP_235250911.1,NZ_JADYUA010000013.1,success,
Lederbergia panacisoli,WP_257581105.1,NZ_JANJGU010000004.1,success,
Alkalihalobacillus lindianensis,WP_317123309.1,NZ_JAWJBA010000006.1,success,
Agathobaculum butyriciproducens,GAA6504179.1,BAABZR010000001.1,success,
Halomonas gudaonensis,WP_089685352.1,NZ_FNES01000006.1,success,
Clostridium perfringens,XZN70946.1,CP198067.1,success,
Corynebacterium glyciniphilum,WP_443405381.1,NZ_CM176890.1,success,
Anaerococcus tetradius,WP_276881439.1,NZ_CAMXZL010000001.1,success,
Pseudonocardia asaccharolytica,GEL18094.1,BJVI01000015.1,success,
Virgibacillus halophilus,WP_390355706.1,NZ_JBHUIZ010000012.1,success,
Dietzia aurantiaca,WP_344992434.1,NZ_BAABCD010000019.1,success,
Virgibacillus profundi,WP_095654613.1,NZ_NPOA01000003.1,success,
Georgenia wutianyii,WP_139071046.1,NZ_CP040899.1,success,
Halomonas antri,WP_419974038.1,NZ_JBMAMI010000001.1,success,
Staphylococcus warneri,WP_486799493.1,NZ_CP190937.1,success,
Pelagibacterium luteolum,WP_090591557.1,NZ_FNCS01000001.1,success,
Alistipes putredinis,WP_418673328.1,NZ_DBGDUG010000128.1,success,
Lederbergia wuyishanensis,WP_244683363.1,NZ_JALIRM010000017.1,success,
Occultella gossypii,WP_249423175.1,NZ_JAGSHT010000016.1,success,
Staphylococcus canis,WP_198617732.1,NZ_JABANU010000010.1,success,
Peribacillus asahii,WP_403152201.1,NZ_JBIWHA010000004.1,success,
Pontibaca methylaminivorans,WP_333684523.1,NZ_DAIPDV010000046.1,success,
Staphylococcus piscifermentans,GEP85148.1,BKAR01000021.1,success,
Serratia marcescens,WP_476196989.1,NZ_JBWCCM010000002.1,success,
Corynebacterium lactis,WP_082313015.1,NZ_CP006841.1,success,
Staphylococcus simiae,WP_207517171.1,NZ_CP071589.1,success,
Staphylococcus argenteus,GAC2334681.1,BAAKGL010000003.1,success,
Paludisphaera soli,WP_165252596.1,NZ_JAALJI010000037.1,success,
Halomonas nitroreducens,WP_126486060.1,NZ_RXNS01000017.1,success,
Clostridium tertium,WP_460294211.1,NZ_CP174463.1,success,
Corynebacterium glutamicum,WP_462551383.1,NZ_CM143267.1,success,
Tissierella creatinini,TJX12938.1,SUSS01000032.1,success,
Staphylococcus caprae,WP_419991615.1,NZ_JBMAOV010000002.1,success,
Brevibacterium marinum,WP_167949175.1,NZ_BAAAPQ010000026.1,success,
Limosilactobacillus caviae,GGI63379.1,BMDS01000004.1,success,
Streptococcus equinus,ARC33683.1,CP020438.2,success,
Halomonas desiderata,WP_481619606.1,NZ_CDVPMI010000015.1,success,
Shigella boydii,WP_139355158.1,,failed,no /coded_by qualifier found
Paracoccus alcaliphilus,WCR16687.1,CP067124.1,success,
Clostridium disporicum,WP_221699284.1,NZ_JBHSAA010000093.1,success,
Lederbergia citrisecundus,WP_060203568.1,NZ_JBCMNI010000028.1,success,
Pusillimonas ginsengisoli,WP_496255790.1,,failed,no /coded_by qualifier found
Staphylococcus kloosii,WP_493275019.1,,failed,no /coded_by qualifier found
Bacillus salipaludis,WP_406579032.1,NZ_JBJHQH010000002.1,success,
Lederbergia citri,WP_213126150.1,NZ_JAGYPG010000003.1,success,
Brachybacterium alimentarium,WP_443386152.1,NZ_JBQQOD010000021.1,success,
Sporosarcina luteola,WP_262175597.1,NZ_JAMBNV010000002.1,success,
Nitratireductor aestuarii,GGA74406.1,BMIF01000010.1,success,
Bilophila wadsworthia,WP_495659961.1,,failed,no /coded_by qualifier found
Staphylococcus debuckii,WP_123145266.1,NZ_CP033460.1,success,
Cytobacillus depressus,WP_151536712.1,NZ_WBOS01000015.1,success,
Alistipes senegalensis,WP_472247077.1,NZ_CEQOLK010000013.1,success,
Blautia producta,XGX24218.1,CP166247.1,success,
Eisenbergiella tayi,WP_493330232.1,,failed,no /coded_by qualifier found
Staphylococcus epidermidis,WP_494299249.1,,failed,no /coded_by qualifier found
Sporosarcina koreensis,WP_474760456.1,NZ_CM148683.1,success,
Saccharopolyspora gloriosae,GAB2650518.1,BAAGUT010000002.1,success,
Siminovitchia acidinfaciens,WP_126050956.1,NZ_QYTV02000004.1,success,
Escherichia coli,BHS50992.1,AP046301.1,success,
Brevibacterium sanguinis,GAA1814539.1,BAAAMG010000015.1,success,
Paenalcaligenes niemegkensis,WP_238665770.1,NZ_JAKGCT010000004.1,success,
Stackebrandtia endophytica,BGA14712.1,AP040089.1,success,
Bordetella bronchiseptica,WP_439811276.1,NZ_CP124609.1,success,
Oceanobacillus profundus,WP_095308558.1,NZ_JAMAWL010000001.1,success,
Alkalihalobacillus nanhaiisediminis,WP_144448530.1,,failed,no /coded_by qualifier found
Clostridium saudiense,WP_472844583.1,NZ_CESPXH010000022.1,success,
Oceanobacillus zhaokaii,WP_114917049.1,NZ_CP024848.1,success,
Corynebacterium nuruki,WP_414121047.1,NZ_JBLBWV010000009.1,success,
Corynebacterium maris,AGS35788.1,CP003924.1,success,
Brevibacterium permense,WP_262777290.1,NZ_QYCP01000094.1,success,
Arthrobacter senegalensis,WP_494000933.1,,failed,no /coded_by qualifier found
Mycolicibacter algericus,WP_013827216.1,NZ_JBARWD010000217.1,success,
Arthrobacter cavernae,WP_207617645.1,NZ_JAFNLL010000056.1,success,
Mycolicibacterium chitae,WP_126333834.1,NZ_AP022604.1,success,
Paralcaligenes ginsengisoli,WP_460873757.1,NZ_BAAGUZ010000013.1,success,
Odoribacter splanchnicus,GAA6368349.1,BAABYK010000001.1,success,
Proteus mirabilis,YFT70656.1,PZ279115.1,success,
Dietzia cercidiphylli,WP_481787427.1,,failed,Remote end closed connection without response
Paenarthrobacter nitroguajacolicus,BGZ52376.1,AP043774.1,success,
Alkalihalophilus pseudofirmus,WVU07684.1,CP144224.1,success,
Brevibacterium ammoniilyticum,WP_339392474.1,NZ_BAABBK010000018.1,success,
Lederbergia ruris,WP_057987045.1,NZ_BORB01000046.1,success,
Paralcaligenes ureilyticus,WP_132585073.1,NZ_SMAJ01000019.1,success,
Bacillus velezensis,WP_494398742.1,NZ_CM181144.1,success,
Dietzia cinnamea,WVF62825.1,CP143053.1,success,
Rhodococcus phenolicus,WP_211270166.1,NZ_LRRH01000048.1,success,
Mycolicibacillus trivialis,WP_085111284.1,NZ_JACKSN010000183.1,success,
Oceanicella actignis,WP_148922096.1,NZ_VNHJ01000002.1,success,
Arthrobacter crystallopoietes,WP_494112389.1,,failed,no /coded_by qualifier found
Virgibacillus soli,WP_320380707.1,NZ_JAWDIQ010000003.1,success,
Brachybacterium horti,GAB4097166.1,BAAHAM010000004.1,success,
Brachybacterium ginsengisoli,WP_096800208.1,NZ_CP023564.1,success,
Paludisphaera borealis,WP_309382848.1,NZ_JARLII010000127.1,success,
Oceanobacillus oncorhynchi,WP_193064541.1,NZ_CP101913.1,success,
Streptomyces mimosae,WP_139674872.1,NZ_VDLY02000025.1,success,
Arthrobacter celericrescens,WP_120523034.1,NZ_QYLP01000100.1,success,
Halomonas tibetensis,WP_379753653.1,NZ_JBHRSQ010000006.1,success,
Nocardia nova,WP_450082712.1,NZ_JBSFSS010000017.1,success,
Actinomadura geliboluensis,WP_465378713.1,NZ_JBVIKR010000018.1,success,
Halalkalibacterium halodurans,WP_328031547.1,NZ_JARMVM010000039.1,success,
Staphylococcus devriesei,WKU12340.1,CP130489.1,success,
Enterococcus ratti,WP_071855268.1,NZ_JBCLRY010000004.1,success,
Neobacillus cucumis,WP_328047924.1,NZ_JARMVK010000030.1,success,
Neobacillus niacini,WP_419886997.1,NZ_CP183883.1,success,
Sporosarcina jiandibaonis,WP_172370336.1,NZ_JAAOIY010000002.1,success,
Priestia flexa,YFT62015.1,CP195064.1,success,
Oligella ureolytica,QPT41323.1,CP065725.1,success,
Alistipes timonensis,WP_462352882.1,NZ_CDWUNN010000001.1,success,
Pseudarthrobacter chlorophenolicus,WP_015935618.1,NZ_FNLE01000003.1,success,
Bacillus subtilis,YFS51160.1,CP170582.1,success,
Butyricicoccus porcorum,XXL54471.1,CP178353.1,success,
Neobacillus bataviensis,WP_098528925.1,NZ_CM160068.1,success,
Mycolicibacterium sphagni,WP_174398395.1,NZ_VBSB01000008.1,success,
Arthrobacter pascens,WP_493983672.1,,failed,no /coded_by qualifier found
Priestia megaterium,YFT40375.1,CP129645.1,success,
Nonomuraea harbinensis,WP_308249173.1,NZ_JAHKRN010000048.1,success,
Blautia coccoides,XGX24218.1,CP166247.1,success,
Ornithinimicrobium cavernae,WP_419866499.1,NZ_QDDJ01000003.1,success,
Anaerostipes hadrus,WP_487084985.1,NZ_BAABMU010000052.1,success,
Corynebacterium parakroppenstedtii,PMC67522.1,PNHH01000001.1,success,
Arthrobacter silvisoli,WP_115790132.1,NZ_QRCU01000076.1,success,
Staphylococcus chromogenes,WP_483719363.1,NZ_JBXRFD010000002.1,success,
Nocardiopsis composta,WP_478355935.1,NZ_JBWKIV010000031.1,success,
Brevibacterium aurantiacum,WP_143923102.1,NZ_VLTK01000007.1,success,
Patulibacter ginsengiterrae,WP_475760158.1,NZ_JBWDOG010000021.1,success,
Sporosarcina newyorkensis,WP_078818318.1,NZ_FUYJ01000007.1,success,
Bacillus timonensis,WP_010677710.1,NZ_HE610987.1,success,
Zhenhengia yiwuensis,WP_177669493.1,NZ_JACRSY010000009.1,success,
Virgibacillus halotolerans,WP_205136718.1,NZ_JAFBEA010000003.1,success,
Neobacillus drentensis,WP_098262978.1,NZ_JBALLS010000092.1,success,
Halomonas cerina,WP_183323431.1,NZ_JACHXP010000001.1,success,
Virgibacillus halodenitrificans,WP_060679374.1,NZ_BAZS01000009.1,success,
Priestia aryabhattai,WP_487198898.1,NZ_BAAIYJ010000001.1,success,
Eoetvoesia caeni,WP_449393164.1,NZ_CAYFEO020000001.1,success,
Mycolicibacter terrae,WP_125224462.1,NZ_RRZR01000002.1,success,
Sporosarcina ureae,WP_303970407.1,NZ_JARIDR010000072.1,success,
Streptococcus infantarius,WP_006532676.1,NZ_CABKNK020000001.1,success,
Neobacillus novalis,WHY84204.1,CP126114.1,success,
Caldalkalibacillus mannanilyticus,BGY86327.1,AP043734.1,success,
Streptomyces malaysiensis,WP_206333846.1,NZ_BAAAHF010000004.1,success,
Oceanobacillus rekensis,WP_087974706.1,NZ_MTBQ01000007.1,success,
Nocardiopsis sediminis,WP_378530498.1,NZ_JBHSBH010000004.1,success,
Actinoallomurus iriomotensis,WP_285617240.1,NZ_BSTJ01000001.1,success,
Kocuria uropygialis,WP_129657956.1,NZ_NOIS01000001.1,success,
Corynebacterium falsenii,WP_462398412.1,NZ_CDWYNJ010000001.1,success,
Mycolicibacterium mageritense,WP_073907585.1,NZ_BAAHWH010000012.1,success,
Bacillus cereus,WP_494429647.1,,failed,no /coded_by qualifier found
Bacillus marasmi,WP_147532970.1,NZ_LR656166.1,success,
Alistipes shahii,WP_195459980.1,NZ_CATYVA010000002.1,success,
Proteus penneri,WP_161669217.1,NZ_JAPGQK010000001.1,success,
Peribacillus huizhouensis,WP_312859646.1,NZ_JACJHX010000002.1,success,
Acinetobacter guillouiae,WP_488632264.1,NZ_DBNUFM010000003.1,success,
Salmonella enterica,GAC1948924.1,BAAKAF010000005.1,success,
Aquibacillus albus,WP_239584192.1,NZ_JAFBDR010000003.1,success,
Corynebacterium variabile,CAQ2011068.1,CEVHID010000073.1,success,
Streptomyces iranensis,WP_413803688.1,NZ_JBLHDJ010000013.1,success,
Arthrobacter globiformis,WP_494011802.1,,failed,no /coded_by qualifier found
Mycolicibacterium wolinskyi,WP_489954489.1,NZ_JBYUIP010000005.1,success,
Corynebacterium flavescens,WP_443402043.1,NZ_JBQQNW010000013.1,success,
Saccharopolyspora tripterygii,WP_461157772.1,NZ_BAAGZP010000045.1,success,
Corynebacterium singulare,WP_042532664.1,NZ_CP010827.1,success,
Bacillus benzoevorans,WP_184523422.1,NZ_JACHGK010000002.1,success,
Kocuria atrinae,WP_344223619.1,NZ_BAAAQA010000004.1,success,
Neobacillus vireti,WP_335517272.1,NZ_JBALNB010000012.1,success,
Neobacillus soli,WP_066061760.1,NZ_NISV01000001.1,success,
Corynebacterium neomassiliense,WP_066588355.1,NZ_LR131106.1,success,
Corynebacterium terpenotabidum,AGP31833.1,CP003696.1,success,
Neobacillus ginsengisoli,WP_307410427.1,NZ_JAUSTW010000006.1,success,
Actinomadura montaniterrae,WP_151538538.1,NZ_WBMR01000007.1,success,
Bacillus atrophaeus,YDU72166.1,CP196941.1,success,
Neobacillus pocheonensis,WP_430135751.1,NZ_JBCNAD010000024.1,success,
Staphylococcus pettenkoferi,YER87611.1,CP190975.1,success,
Oceanobacillus chungangensis,WP_115749355.1,NZ_PIOD01000007.1,success,
Ignatzschineria larvae,WZW88464.1,CP150637.1,success,
Mycobacterium senegalense,CQD19090.1,CTEF01000003.1,success,
Psychrobacillus lasiicapitis,WP_142539787.1,NZ_BMIE01000007.1,success,
Paenibacillus rigui,WP_425436224.1,NZ_NMQW01000008.1,success,
Singulisphaera rosea,WP_462855399.1,NZ_JBTYIP020000038.1,success,
Cohnella luojiensis,WP_420808597.1,NZ_SOMN01000001.1,success,
Ectobacillus funiculus,WP_491440867.1,NZ_CM178039.1,success,
Aeromicrobium flavum,GAA3545367.1,BAAAYQ010000005.1,success,
Nocardiopsis mangrovei,WP_378571236.1,NZ_JBHSFQ010000002.1,success,
Pusillimonas thiosulfatoxidans,QAA93021.1,CP022987.1,success,
Rhodoplanes azumiensis,WP_378477579.1,NZ_JBHUIW010000008.1,success,
Microbispora bryophytorum,GAB3890154.1,BAAGZW010000001.1,success,
Peribacillus simplex,WP_475723180.1,NZ_CM149705.1,success,
Enterobacter quasihormaechei,WP_112792144.1,NZ_JBMDGW010000015.1,success,
Zhenpiania hominis,WP_187302543.1,NZ_CBCTON010000010.1,success,
Streptomyces triticisoli,WP_112467317.1,NZ_QFDQ01000068.1,success,
Enterococcus rotai,WP_069641209.1,NZ_CP013655.1,success,
Streptomyces durhamensis,WP_031167147.1,NZ_JNXR01000014.1,success,
Corynebacterium suranareeae,WP_096453430.1,NZ_AP017369.1,success,
Glutamicibacter arilaitensis,WP_404288579.1,NZ_CP084994.1,success,
Lactiplantibacillus plantarum,WP_489940843.1,NZ_JBYUSX010000004.1,success,
Bacillus amyloliquefaciens,WP_101670467.1,NZ_MSYT01000012.1,success,
Nocardiopsis coralliicola,WP_460863086.1,NZ_BAAGXT010000062.1,success,
Gordonia amarae,WP_005181519.1,NZ_CP045804.1,success,
Serratia surfactantfaciens,WP_197667114.1,NZ_JADUMB010000001.1,success,
Blautia luti,XPG22302.1,CP136549.1,success,
Halomonas urumqiensis,GHE19785.1,BNAE01000001.1,success,
Halomonas endophytica,WP_102655264.1,NZ_PNRF01000043.1,success,
Bacillus licheniformis,WIY58258.1,CP097483.1,success,
Sanguibacter gelidistatuariae,WP_093181599.1,NZ_FMYH01000001.1,success,
Bacillus stercoris,WP_492020561.1,,failed,no /coded_by qualifier found
Micromonospora zhanjiangensis,GAB3796081.1,BAAGZU010000001.1,success,
Cellulomonas flavigena,WP_013115943.1,NC_014151.1,success,
Bacillus halotolerans,WP_483860734.1,NZ_JBXTZJ010000004.1,success,
Streptomyces cacaoi,WP_466223204.1,NZ_JBVIHI010000011.1,success,
Kocuria uropygioeca,WP_129359917.1,NZ_AP022834.1,success,
Mesobacillus harenae,WP_174733460.1,NZ_JABUNR010000010.1,success,
Micrococcus luteus,WP_100056464.1,NZ_JAGHYI010000016.1,success,
Metabacillus litoralis,WP_212138537.1,NZ_CP088268.1,success,
Corynebacterium efficiens,WP_006770040.1,NC_004369.1,success,
Corynebacterium deserti,WP_053543779.1,NZ_CP009220.1,success,
Kocuria massiliensis,WP_030014712.1,NZ_JANKZE010000005.1,success,
Actinacidiphila bryophytorum,WP_205048132.1,NZ_CAJVAX010000023.1,success,
Glutamicibacter halophytocola,WP_257745167.1,NZ_CP102487.1,success,
Pseudarthrobacter defluvii,WP_463961190.1,NZ_JBVAYP010000015.1,success,
Amycolatopsis pigmentata,WP_378265087.1,NZ_JBHUKR010000007.1,success,
Lentibacillus juripiscarius,WP_382390722.1,NZ_JBHUNA010000003.1,success,
Clostridium butyricum,WP_367737826.1,,failed,no /coded_by qualifier found
Lysinibacillus fusiformis,WP_490340775.1,NZ_CM176597.1,success,
Psychrobacter sanguinis,WP_044298176.1,NZ_CAJHAX010000002.1,success,
Nitrosococcus oceani,GEM20104.1,BJWX01000007.1,success,
Staphylococcus pseudintermedius,WP_497114235.1,NZ_OX415220.1,success,
Actinomadura fulvescens,WP_344537455.1,NZ_BAAATD010000001.1,success,
Microvirga massiliensis,WP_046861550.1,NZ_CABMGP010000001.1,success,
Mycolicibacterium lutetiense,WP_454790426.1,NZ_CDRMVW010000001.1,success,
Paracoccus haematequi,WP_126154785.1,NZ_UZWE01000032.1,success,
Bhargavaea beijingensis,WP_092094697.1,NZ_FNAR01000003.1,success,
Salicibibacter halophilus,QDI92263.1,CP035485.1,success,
Staphylococcus haemolyticus,YFY62216.1,CP182779.1,success,
Vulgatibacter incomptus,WP_050726605.1,NZ_CP012332.1,success,
Paenibacillus terrigena,WP_314588283.1,NZ_CAUSAF010000013.1,success,
Mycolicibacterium duvalii,WP_098004659.1,NZ_AP022563.1,success,
Staphylococcus hyicus,WP_449130221.1,NZ_JBPPXG010000002.1,success,
Staphylococcus intermedius,WP_019167529.1,NZ_JBBLTU010000002.1,success,
Castellaniella defragrans,CAM5202940.1,CAXHUW020000100.1,success,
Alistipes finegoldii,WP_486845846.1,NZ_DBMDLJ010000021.1,success,
Verticiella sediminum,GAA5234211.1,BAABMB010000002.1,success,
Tsukamurella hominis,WP_415677328.1,NZ_CBCRZG010000010.1,success,
Rhodococcus rhodochrous,WP_258261286.1,NZ_JBEFKK010000023.1,success,
Camelimonas fluminis,GHE52889.1,BNCG01000002.1,success,
Paenibacillus daejeonensis,WP_020615804.1,NZ_KB899659.1,success,
Mycobacterium paraense,WP_085173390.1,NZ_JACKVQ010000006.1,success,
Microbispora camponoti,GAB3890154.1,BAAGZW010000001.1,success,
Sporosarcina soli,WP_381435923.1,NZ_JBHSNO010000007.1,success,
Sporosarcina saromensis,WP_317943412.1,NZ_JAUBDI010000006.1,success,
Pseudothauera nasutitermitis,WP_136347515.1,NZ_SSOC01000002.1,success,
Paenibacillus aestuarii,WP_488435227.1,NZ_JBYLHY010000005.1,success,
Paenibacillus glycanilyticus,WP_435164498.1,NZ_CP195155.1,success,
Oceanimonas doudoroffii,WP_094199098.1,NZ_NBIM01000001.1,success,
Sphingomonas formosensis,WP_157218372.1,NZ_WRPK01000006.1,success,
Pedococcus ginsenosidimutans,WP_345500486.1,NZ_BAABLO010000001.1,success,
Pseudarthrobacter niigatensis,WP_307358801.1,NZ_JAUSTB010000004.1,success,
Rothia halotolerans,WP_129658257.1,NZ_NOIU01000002.1,success,
Advenella kashmirensis,WP_485854381.1,NZ_JBHFHS010000079.1,success,
Halomonas azerbaijanica,TFH87353.1,SBLD01000004.1,success,
